gene,yao1,yao2,yao5,R,maxI
UNC13A,0.12023046799490092,0.35244566221131046,0.40010755800314574,1,0.40010755800314574
FCHO1,0.3013594457734174,0.3224183715389334,0.33351133793221255,1,0.33351133793221255
RAB3A,0.2157732812732115,0.2540777457225777,0.32254676743909877,1,0.32254676743909877
GDF15,0.027963910199574425,0.13176244791347697,0.2515577976864856,1,0.2515577976864856
UBA52,-0.21010922918177977,0.013806395317702896,0.15391545685748012,1,0.15391545685748012
TMEM59L,0.1660695951669705,0.17259133274022298,0.3860325362766575,1,0.3860325362766575
MEF2B,0.033911719680167256,0.0342833277450104,0.06706359781378911,1,0.06706359781378911
GMIP,0.08706667568714868,0.09954690012434624,0.15925312393042432,1,0.15925312393042432
ZNF430,-0.011349517862324165,-0.0017831642861631388,0.014834741419940864,1,0.014834741419940864
UQCRFS1,0.026865777595823193,0.028115671955008095,0.028671611902618355,1,0.028671611902618355
RGS9BP,0.13887915481703508,0.16574532363379627,0.28464728875657963,1,0.28464728875657963
SLC7A9,0.00918620673297188,0.03554533270003986,0.07340859525388978,1,0.07340859525388978
FAAP24,-0.0013960310818951528,-1.2186807791195127e-5,8.735329619159287e-4,1,8.735329619159287e-4
CEBPA,0.1425437846493835,0.2735934427308974,0.33798790944116547,1,0.33798790944116547
CHST8,0.06710845422752346,0.27577178107772643,0.43609227057509053,1,0.43609227057509053
HPN,0.3021127391327448,0.3703431622163638,0.6521187813905713,1,0.6521187813905713
FXYD3,0.009197539490289033,0.04967075931792429,0.0924904009335953,1,0.0924904009335953
FXYD7,0.13034712413011704,0.16659055424421657,0.23287171954153546,1,0.23287171954153546
FAM187B,-0.0042595271794148544,-0.0019989833950094156,-5.025089179343072e-4,1,-5.025089179343072e-4
PRODH2,0.2055181675959674,0.45038547343430535,0.6803834848664099,1,0.6803834848664099
KIRREL2,0.15980711143644064,0.3345144627419254,0.4275928521470195,1,0.4275928521470195
ZNF540,0.027444092949237716,0.06164188336242516,0.08475125756592924,1,0.08475125756592924
RASGRP4,0.02320044597597271,0.057527075604181944,0.060157834089795234,1,0.060157834089795234
RYR1,0.016755047848071563,0.20371617121805388,0.44097955878234046,1,0.44097955878234046
LGALS4,-0.013235765597313754,-0.0018556777812600994,-0.001098351405920567,1,-0.001098351405920567
CCER2,0.012755999167541911,0.1347512095759602,0.19405279703635397,1,0.19405279703635397
TTC9B,0.037795295370495204,0.26959778198654766,0.40114749485994733,1,0.40114749485994733
SPTBN4,0.04877644308698151,0.049702833576098115,0.2632200225738751,1,0.2632200225738751
MIA,0.04009234342129765,0.15999786698140758,0.3913544312531307,1,0.3913544312531307
B3GNT8,0.08874905616565099,0.11299881770871742,0.11756969447054069,1,0.11756969447054069
CD79A,-0.017816849708207204,-0.0077659578971414405,0.005467285769817857,1,0.005467285769817857
ATP1A3,0.3140939161341933,0.46435571734538283,0.5067755590455081,1,0.5067755590455081
TMEM145,0.1782330619398233,0.2683416922336646,0.29730179447374366,1,0.29730179447374366
ZNF575,-0.013759443364864248,0.011940670856408857,0.026027263894529827,1,0.026027263894529827
SRRM5,-0.00653850530546924,-0.0039297645251892555,0.007747303571336304,1,0.007747303571336304
LYPD5,-0.012409563669973894,-0.004568071462649442,0.001922151516835367,1,0.001922151516835367
CBLC,0.12068817025678871,0.12717272855292158,0.23382162390882014,1,0.23382162390882014
APOC1,0.12917226445080718,0.2366219020214773,0.6488245853116253,1,0.6488245853116253
RELB,0.056398866660617504,0.06679994303479812,0.09428887404978639,1,0.09428887404978639
NKPD1,-0.02158924144444385,-0.005034861117842965,0.0038049456214496904,1,0.0038049456214496904
FOXA3,0.1020605896291177,0.3787758475128591,0.4945477217181742,1,0.4945477217181742
NANOS2,9.94676963565762e-4,0.0040122845634075754,0.006737617991979451,1,0.006737617991979451
NOVA2,0.4632925116589251,0.4861817906545189,0.5127801461421041,1,0.5127801461421041
PTGIR,0.03136686030548542,0.06605371338964956,0.09539033825480417,1,0.09539033825480417
C5AR2,-0.008113487472559307,-0.0040166252260692824,0.01556393996056045,1,0.01556393996056045
SULT2A1,0.06490970560128258,0.3067333244972402,0.6569868321000043,1,0.6569868321000043
FAM83E,-0.018671063375140007,-0.0036971026639164893,0.007838428900690838,1,0.007838428900690838
FTL,-0.11018873665358153,0.1837835849116962,0.5225928118583097,1,0.5225928118583097
PPFIA3,0.1194452863181379,0.16393017311133126,0.2072551342426588,1,0.2072551342426588
CCDC155,-0.014378367949256534,0.02302536411458622,0.03847277473854925,1,0.03847277473854925
