gene,yao1,yao2,yao5,R,maxI
CASS4,-0.027086468045073992,0.018703311025010803,0.13850870361506523,1,0.13850870361506523
PCK1,-0.0019154328691219896,0.24790411452310712,0.6357285243829105,1,0.6357285243829105
C20orf85,-0.006369963496859276,-0.0032840605995381276,0.3818738416972153,1,0.3818738416972153
ATP5F1E,0.08183747385928547,0.09802732497635205,0.09879967497470458,1,0.09879967497470458
SYCP2,0.0082936433680498,0.03213809034347384,0.04133601844923302,1,0.04133601844923302
SLCO4A1,0.03744313135772381,0.09082661966695044,0.10051387666575369,1,0.10051387666575369
NTSR1,0.019255026888710936,0.07958816603109652,0.23650926090750296,1,0.23650926090750296
SLC17A9,0.0591663575837352,0.3123506204051367,0.49834293388678474,1,0.49834293388678474
COL20A1,0.005627120835583326,0.011117232905875804,0.20306576148333777,1,0.20306576148333777
CHRNA4,0.04619015399117228,0.2923043634696427,0.31415348595141507,1,0.31415348595141507
MYT1,0.19098246766643007,0.44022082041842175,0.5297951163591913,1,0.5297951163591913
RBM11,0.004057539599630926,0.0054969871597004396,0.020612370805302253,1,0.020612370805302253
CHODL,0.03134667828318865,0.2624293724105095,0.5480424000255596,1,0.5480424000255596
NCAM2,0.08042550154683206,0.13927388866499651,0.2289322457794023,1,0.2289322457794023
KRTAP13-4,-0.00886034510583225,-0.0012729552163147344,0.0026414245423226667,1,0.0026414245423226667
KRTAP19-8,-0.013624016719960061,0.022231177282410017,0.042252596782933347,1,0.042252596782933347
KCNE2,0.003166409119989141,0.008881483116504052,0.013456263792257207,1,0.013456263792257207
CLIC6,0.11354043473879519,0.14561197425490255,0.34872808496192087,1,0.34872808496192087
CBR3,-2.0128525560478617e-4,0.017053131757979803,0.0421399087170002,1,0.0421399087170002
SIM2,0.05632807259353,0.060904837367467164,0.4232283061203266,1,0.4232283061203266
ERG,0.24690451871597616,0.29547932336279564,0.34649240726898706,1,0.34649240726898706
LCA5L,-0.0016277149377394214,0.00739847506875931,0.017121090619855197,1,0.017121090619855197
DSCAM,0.007954199874096497,0.06021343446432654,0.18123161125873108,1,0.18123161125873108
FAM3B,0.12467879717204418,0.1843046063764989,0.3807307183389999,1,0.3807307183389999
MX1,-0.014744781307216702,0.023701839264340014,0.04870254823366414,1,0.04870254823366414
CSTB,-0.08682779377367283,0.027124769184414865,0.05045447715536633,1,0.05045447715536633
DNMT3L,-0.008818351028434045,-0.0015125046927397406,0.004662914207195483,1,0.004662914207195483
AIRE,-1.2146909524293162e-4,0.007232256732775354,0.041761090101879846,1,0.041761090101879846
TSPEAR,-0.008860439019514535,0.023128135889611663,0.06995444943906456,1,0.06995444943906456
ITGB2,0.08247900659044571,0.10560558509843702,0.17672240410917306,1,0.17672240410917306
PCBP3,0.02305384935792726,0.11244929246507482,0.21054331953112027,1,0.21054331953112027
FTCD,0.16561305203370988,0.31225979183961444,0.4247049959759663,1,0.4247049959759663
IL17RA,0.023063081172742556,0.02751925076567562,0.04246121230594021,1,0.04246121230594021
TMEM121B,0.02156598399685041,0.11861871326903835,0.17192361125355698,1,0.17192361125355698
ADA2,0.0793955308564289,0.20133829904082312,0.21455648196972815,1,0.21455648196972815
SLC25A18,0.026808719262119075,0.3432902668697435,0.5454544092156304,1,0.5454544092156304
USP18,0.048275177528130896,0.11544272073813415,0.1376680999832121,1,0.1376680999832121
CLTCL1,0.010831551113374327,0.012049102585140402,0.023023311599709627,1,0.023023311599709627
CLDN5,0.17010805982879507,0.27587134544872016,0.33307519418988735,1,0.33307519418988735
SEPTIN5,0.27711451609842186,0.32092630194652727,0.4188634082459086,1,0.4188634082459086
CCDC188,0.04534326934981539,0.08370642748699242,0.14085376507446473,1,0.14085376507446473
SCARF2,0.29307853299994585,0.29447181356581026,0.41426663123488006,1,0.41426663123488006
SERPIND1,0.12669046743863366,0.3831912821187094,0.7001322973167167,1,0.7001322973167167
YDJC,0.016940381577343965,0.019478322938255823,0.023787329385992127,1,0.023787329385992127
DRICH1,-2.3781227621059512e-4,0.010458609537532634,0.024202547113715046,1,0.024202547113715046
C22orf15,0.09876320109411486,0.10037998712389787,0.16019792295259924,1,0.16019792295259924
DDT,0.24019273705080763,0.2404863182443738,0.2785295214135052,1,0.2785295214135052
SUSD2,0.07461509939268997,0.1399013886560223,0.1581247259571897,1,0.1581247259571897
UPB1,0.025829995365043906,0.03718275994661902,0.04532650016135878,1,0.04532650016135878
GGT1,-0.0014238099037947162,-8.906038816217393e-4,0.006416398424921552,1,0.006416398424921552
SGSM1,0.04969062205702617,0.06283332401025865,0.08264057418441366,1,0.08264057418441366
CRYBB3,-0.0034095339563408474,-0.0016614096979015501,0.00506683928960594,1,0.00506683928960594
XBP1,0.1896370395247491,0.2220443278617691,0.42090081916930394,1,0.42090081916930394
C22orf31,-0.0038996558225963826,0.019297431490954527,0.031604165613977615,1,0.031604165613977615
KREMEN1,0.09394067740499436,0.11950920640688083,0.14710332147819785,1,0.14710332147819785
RASL10A,-0.005375471008106421,0.012319489871591436,0.02866442133212144,1,0.02866442133212144
CABP7,0.12692730298248178,0.1558474177198157,0.3877569002991873,1,0.3877569002991873
UQCR10,-0.0018866171431575838,0.1444009198339038,0.2595337892227329,1,0.2595337892227329
CCDC157,0.0016586224945642277,0.01487348626491244,0.05485322747385227,1,0.05485322747385227
SEC14L4,-0.013187164701880515,0.004636861759511806,0.43649493409094986,1,0.43649493409094986
GAL3ST1,0.02442319600301053,0.041822141492350653,0.07185128068220221,1,0.07185128068220221
SLC5A1,0.009789121479994375,0.3447375410344524,0.4416753205190455,1,0.4416753205190455
SLC5A4,-0.0029635660580368444,0.022043278461863422,0.04585153858004457,1,0.04585153858004457
TIMP3,0.28197355699963833,0.3163475243705628,0.3792335732644628,1,0.3792335732644628
HMOX1,0.2022328703613928,0.205265942100683,0.39905783546610557,1,0.39905783546610557
APOL6,0.03624360774157821,0.12474569450187717,0.3021163249386552,1,0.3021163249386552
APOL3,-0.0044538452877190965,0.02162993289149733,0.047906958266690364,1,0.047906958266690364
CACNG2,-0.007966334429024826,0.1999194144645914,0.3574198662397162,1,0.3574198662397162
CSF2RB,0.03679728680276425,0.0434654424260506,0.15721499046962853,1,0.15721499046962853
TST,0.05020301076238244,0.2412462379878692,0.4919596373667035,1,0.4919596373667035
TMPRSS6,0.1889661839034889,0.2946565426457441,0.5841755391947986,1,0.5841755391947986
CYTH4,0.026683076153084583,0.05003708049477055,0.08875716503818344,1,0.08875716503818344
MFNG,0.12526646162999633,0.21166355365007364,0.23466989773177915,1,0.23466989773177915
LGALS1,0.3173436061638938,0.342082873676627,0.540572308220097,1,0.540572308220097
C22orf23,-0.0022734520778526245,0.008178030839532908,0.12612834774253837,1,0.12612834774253837
PICK1,0.01945178081282722,0.046311152073722786,0.06721388336083665,1,0.06721388336083665
KCNJ4,0.013577347263113696,0.015458721941163333,0.08244551970087971,1,0.08244551970087971
CBY1,-0.019976144438279827,0.0037296397337964146,0.012622572240717084,1,0.012622572240717084
APOBEC3B,0.008735396357057548,0.01696278525123936,0.048351422088910835,1,0.048351422088910835
FAM83F,0.07086939191150056,0.07651150901374139,0.07976409699565223,1,0.07976409699565223
CSDC2,0.09531465449079206,0.16902894714665237,0.19471079693748677,1,0.19471079693748677
SREBF2,-0.16278866534988837,0.1600708532499595,0.21499268783625697,1,0.21499268783625697
SEPTIN3,0.2853860728691651,0.37638759405505146,0.4391492270114411,1,0.4391492270114411
WBP2NL,0.03850932939419147,0.05840889222372817,0.081491151077851,1,0.081491151077851
CYP2D6,-0.013080270857694042,-0.0067288585295001,0.0028917124444025,1,0.0028917124444025
SERHL2,-0.004821037931120559,0.008049170188657319,0.011079985038766529,1,0.011079985038766529
TSPO,0.0324238158406392,0.14776008566629184,0.2921833865026982,1,0.2921833865026982
SCUBE1,0.23225682967863803,0.4102384771486562,0.47330746304499927,1,0.47330746304499927
SULT4A1,0.13983814675581557,0.17955030071870431,0.1917696383904505,1,0.1917696383904505
PARVG,0.013824333925984492,0.022316773603189684,0.0955218542500928,1,0.0955218542500928
UPK3A,0.04648990617127419,0.21130646468980024,0.2845314774413832,1,0.2845314774413832
SMC1B,-0.020790558535242226,0.004920187782402629,0.013251444358856251,1,0.013251444358856251
RIBC2,0.027140405352922906,0.08535442646224246,0.14356911838711994,1,0.14356911838711994
PPARA,0.1362338654596342,0.17258010110145947,0.23393394493652642,1,0.23393394493652642
ZBED4,-0.034893101368322355,0.11313029725756556,0.15690174853663905,1,0.15690174853663905
MLC1,0.10365550803824186,0.13519189779858473,0.16636544099645917,1,0.16636544099645917
CHKB,-0.045350247970140395,0.03620444113235022,0.04554785829879581,1,0.04554785829879581
MAPK8IP2,0.16849762515941544,0.318657164332343,0.3420620894030159,1,0.3420620894030159
PLCXD1,-0.044294954335803105,0.07320395081998869,0.1029718313091953,1,0.1029718313091953
SHOX,6.756866919374747e-4,0.10777002192642471,0.4061648110646851,1,0.4061648110646851
XG,-0.002918313168012196,0.013611459720105027,0.021655829596520935,1,0.021655829596520935
GYG2,0.03223464015894065,0.03889030522859757,0.13046330509399684,1,0.13046330509399684
ARSE,0.16342975350004266,0.2005264240033833,0.5051004147863368,1,0.5051004147863368
ANOS1,0.13468284155923563,0.24489585927492635,0.38280777056994764,1,0.38280777056994764
WWC3,-0.08772045405509697,0.12445210019615145,0.2610303431811274,1,0.2610303431811274
FRMPD4,-0.006417444448594675,0.01557771569249727,0.07025871895684796,1,0.07025871895684796
EGFL6,0.0793993516091682,0.1436041251419042,0.48465384566530123,1,0.48465384566530123
GLRA2,0.00568592203587168,0.23288954136009676,0.345231397742748,1,0.345231397742748
ZRSR2,7.143501566592733e-4,0.00441913906778919,0.01601004675816044,1,0.01601004675816044
REPS2,0.055497251846075527,0.07195790298480235,0.12696324196182887,1,0.12696324196182887
RAI2,0.03709809167769981,0.08158182670057713,0.10213234447136701,1,0.10213234447136701
PPEF1,-0.013157187558902139,0.02433560557776461,0.24738703128870165,1,0.24738703128870165
ADGRG2,-0.0066283724095894106,0.14308717212669478,0.24217191010397776,1,0.24217191010397776
BCLAF3,0.0854967087646546,0.09522967345499478,0.11632938933020959,1,0.11632938933020959
MAP7D2,0.006362006488407215,0.05128610857958496,0.12645475307011125,1,0.12645475307011125
SAT1,0.17731040908878776,0.28836353550816574,0.3071845122803385,1,0.3071845122803385
CXorf58,-0.018473197246009262,1.0047886182594665e-4,0.003580871365468156,1,0.003580871365468156
ZFX,0.014876266608749838,0.04695594363764115,0.07047056268416081,1,0.07047056268416081
CXorf21,-0.015770914842700354,0.011757784711470015,0.05967651042327028,1,0.05967651042327028
CYBB,0.06176202733231942,0.06930980161310428,0.1834748437874488,1,0.1834748437874488
OTC,0.06849172939312827,0.41694937355168876,0.608441177722292,1,0.608441177722292
GPR34,0.010479593354517381,0.019308904130598156,0.07698967921108613,1,0.07698967921108613
MAOA,0.1916949523313923,0.2120777345871674,0.23880694978150735,1,0.23880694978150735
MAOB,0.10142996018463797,0.3955625334175727,0.6214466900523395,1,0.6214466900523395
RGN,0.13776775410731917,0.371665740972375,0.5783689014948554,1,0.5783689014948554
ZNF157,-0.013857784593190994,0.0021128944291616963,0.01574100713479277,1,0.01574100713479277
SYN1,0.023921896235019804,0.22517385458047537,0.29949266839421984,1,0.29949266839421984
CFP,0.018485026716208944,0.04708057125487387,0.1421100900665374,1,0.1421100900665374
