gene,E95,E115,E135,R,maxI
Rbbp5,0.004462324876477908,0.010012475885564346,0.03094107661005253,1,0.03094107661005253
Cntn2,0.03030245964545042,0.35221479348237916,0.3902540376897689,1,0.3902540376897689
Nfasc,0.11827731251669496,0.4450187932342975,0.5838755840159019,1,0.5838755840159019
Lrrn2,0.044482514895243054,0.0873322097006904,0.14150479328397123,1,0.14150479328397123
Pik3c2b,0.10303785623749577,0.15591105054762092,0.19712653231740584,1,0.19712653231740584
Ppp1r15b,0.024249288352565023,0.10859377536510355,0.12282057712551883,1,0.12282057712551883
Zc3h11a,-0.011572197523175908,0.00747892674259693,0.014975226324708994,1,0.014975226324708994
Lax1,0.0063075636306781915,0.01746320732494858,0.02685950130024782,1,0.02685950130024782
Fmod,0.07667653511602447,0.18876189558388373,0.2217737315650324,1,0.2217737315650324
Mybph,0.10503177975134145,0.3685049470716494,0.3859587715726831,1,0.3859587715726831
Tmem183a,0.002614291055190106,0.04181063149620746,0.05193580995343148,1,0.05193580995343148
Rabif,0.013884692715179506,0.05929480855797944,0.0856701360926743,1,0.0856701360926743
Kdm5b,0.04916774750597252,0.10321123770836138,0.17288059702296565,1,0.17288059702296565
Ube2t,0.0390470995232761,0.09844441836361296,0.12320983439886439,1,0.12320983439886439
Arl8a,0.036473700105420795,0.2282082648270221,0.4214416735390719,1,0.4214416735390719
Elf3,0.032605636530110706,0.10775896011943861,0.23290743143494547,1,0.23290743143494547
Nav1,0.03350322330295349,0.03726763976839433,0.06735943338099806,1,0.06735943338099806
Lad1,0.02139161160646606,0.11528596368962418,0.13383781689269192,1,0.13383781689269192
Pkp1,-0.009297108418537751,0.1602314007776789,0.2780709774831539,1,0.2780709774831539
Kif21b,0.051934848428801646,0.26213419386215014,0.5496405525762825,1,0.5496405525762825
Mroh3,0.013780203485352248,0.01592272353663599,0.048035678627012336,1,0.048035678627012336
Inava,0.05783680868394064,0.15408724502824778,0.17899333681356946,1,0.17899333681356946
Camsap2,0.040831037379629516,0.11868829175489101,0.20085847127459147,1,0.20085847127459147
Ddx59,-0.028271020508330108,0.011970059402026835,0.015486281011143339,1,0.015486281011143339
Kif14,0.04237391632480613,0.04481397374915032,0.15523685107337964,1,0.15523685107337964
Ptprc,0.053178602340690925,0.08305719484075831,0.0910585929114979,1,0.0910585929114979
Lhx9,0.3005376934991659,0.34813388757422753,0.6075898529496262,1,0.6075898529496262
Dennd1b,0.04780596715458144,0.051014495148550894,0.053893662647265556,1,0.053893662647265556
Zbtb41,0.05411831759055485,0.07594336923989758,0.07804975300366995,1,0.07804975300366995
Aspm,0.03731731132435652,0.1516121721459391,0.2257172674626799,1,0.2257172674626799
Cfh,-0.0028788332784180806,0.09234331228060551,0.23077539848610312,1,0.23077539848610312
Cdc73,0.02574534934103249,0.10043404592432416,0.14389639123998818,1,0.14389639123998818
Glrx2,-0.02486575855942274,0.04322748354475476,0.09799723235338793,1,0.09799723235338793
Ro60,0.05598684150635365,0.12486012196771164,0.19027123103015142,1,0.19027123103015142
Rgs2,0.15009191137435443,0.2186774601554347,0.2395845487665474,1,0.2395845487665474
Rnf2,0.05045636825198836,0.1228548326628649,0.1393302149333396,1,0.1393302149333396
Fam129a,-0.00584841362594413,0.04445315558002884,0.10882997991984802,1,0.10882997991984802
1700025G04Rik,0.0611794447155087,0.10653169856738844,0.1332777778290842,1,0.1332777778290842
Colgalt2,0.03933985860219868,0.09395290827254024,0.14660639610181198,1,0.14660639610181198
Rgl1,0.10402806550789545,0.20600170549381738,0.2897335715968992,1,0.2897335715968992
Nmnat2,0.08676031157722405,0.3434167068189783,0.4520590169749646,1,0.4520590169749646
Lamc2,0.02813123545142372,0.06662879553458943,0.08575985274450681,1,0.08575985274450681
Lamc1,0.13585040325644157,0.17019802507662246,0.21175176379927424,1,0.21175176379927424
Rgs8,0.08638158373131503,0.27061709637991765,0.31678333559232724,1,0.31678333559232724
Cacna1e,-0.013848721276952648,0.13218306269845562,0.21424468710991948,1,0.21424468710991948
Mr1,0.01773080137332331,0.06587969082120894,0.10824839189900655,1,0.10824839189900655
Stx6,0.047666474398222046,0.14470589975584247,0.2558988209070857,1,0.2558988209070857
BC034090,0.027649204783550783,0.0813552224425143,0.09004436003092857,1,0.09004436003092857
Xpr1,0.07060917029933116,0.1735216803697978,0.28523500568594373,1,0.28523500568594373
Cep350,0.011157675455180979,0.030598336773025755,0.047165836154552734,1,0.047165836154552734
Tor1aip1,0.017045119632613542,0.0646398785917966,0.11719648340644438,1,0.11719648340644438
Tdrd5,-4.3100338772226153e-4,0.0010772772308644217,0.013434955773552696,1,0.013434955773552696
Axdnd1,-0.005573049977120771,-0.002556456966124447,0.0024551544695721648,1,0.0024551544695721648
Abl2,0.02399329253822545,0.051409850545929094,0.05288656468929093,1,0.05288656468929093
Ralgps2,0.04674474128112184,0.05498156191832808,0.061893441539117244,1,0.061893441539117244
Rasal2,0.003828064152090013,0.033573485546469745,0.059511179032190775,1,0.059511179032190775
Cryzl2,0.048213335137097725,0.05635012648039029,0.056705472274269156,1,0.056705472274269156
Astn1,0.07333570584264452,0.30763859271099864,0.49388830196706823,1,0.49388830196706823
Rabgap1l,0.005145861761064865,0.0809371188187289,0.1547365558961454,1,0.1547365558961454
Serpinc1,0.2619936607625593,0.4439085591830245,0.6289497661359419,1,0.6289497661359419
Dars2,0.04636555571125288,0.06759239772474471,0.09757255059202068,1,0.09757255059202068
Cenpl,-0.011755069530894688,0.04760193701369906,0.10143597863800573,1,0.10143597863800573
Klhl20,-0.012264703624927273,0.030675132419334332,0.05081587301943092,1,0.05081587301943092
Ankrd45,-0.00873701007289286,0.028964085926470536,0.12480272764403565,1,0.12480272764403565
Suco,0.023053919542333743,0.06430456004333779,0.09550450680010475,1,0.09550450680010475
Fmo1,0.09462045208771135,0.1021902137774688,0.21297885333031494,1,0.21297885333031494
Gorab,-0.023581196617785617,0.0141074229746951,0.015277904091061447,1,0.015277904091061447
Kifap3,0.021274893404904276,0.12384106764914501,0.2788610093414553,1,0.2788610093414553
Scyl3,0.002515589467722037,0.016764725553267263,0.02600503713514753,1,0.02600503713514753
F5,0.015978026103680924,0.23525764708147046,0.28802478820280375,1,0.28802478820280375
Ccdc181,0.03358245090301643,0.03478467012733472,0.06549511177792547,1,0.06549511177792547
Dpt,0.01052388578359714,0.10988771748825732,0.28948839846671137,1,0.28948839846671137
Tiprl,0.010616453834492466,0.06143286116277278,0.09037459581744162,1,0.09037459581744162
Gpr161,0.009357362668412316,0.08419578858657634,0.17121905886711034,1,0.17121905886711034
Creg1,0.12037098518088618,0.20990916906448265,0.2634947823144885,1,0.2634947823144885
Pou2f1,0.06272981012072544,0.0772882194150358,0.08843603997432191,1,0.08843603997432191
Tada1,0.005899699540246918,0.03149421445057369,0.09597489785039957,1,0.09597489785039957
Pogk,0.02949206591575152,0.09105425388478061,0.18555945651393665,1,0.18555945651393665
Aldh9a1,0.030038251026579917,0.1363607469539485,0.16391624212038888,1,0.16391624212038888
Rxrg,0.05016016892760796,0.26506607092150397,0.306070773667772,1,0.306070773667772
Lmx1a,0.20991768297124713,0.21165987882168416,0.25491372041757054,1,0.25491372041757054
Nuf2,0.07482043923791819,0.15097415060696337,0.2688108656364307,1,0.2688108656364307
Ddr2,0.2327543210684245,0.29946625482879363,0.30164534907543555,1,0.30164534907543555
Uhmk1,0.013816158587401936,0.0808225957733845,0.14156322857885956,1,0.14156322857885956
Sdhc,0.0873149405870113,0.10928774939771806,0.17773051216753918,1,0.17773051216753918
Mpz,-0.00629483312063997,0.1447646944950377,0.1543442069823432,1,0.1543442069823432
Apoa2,0.3394662699522633,0.46908572339689913,0.6039609159644113,1,0.6039609159644113
Ndufs2,0.04545062253055527,0.13126107396215625,0.13989113914266044,1,0.13989113914266044
B4galt3,0.00290608289661501,0.07751000455169879,0.08804203592586658,1,0.08804203592586658
Usp21,0.04116875070716871,0.0582854045433525,0.07075991341027772,1,0.07075991341027772
Vangl2,0.17960132508048374,0.2521147034487058,0.309628120695342,1,0.309628120695342
Nhlh1,0.2265804467415737,0.3002672556063971,0.38016507466304844,1,0.38016507466304844
Copa,0.06762593305930026,0.11439240883205302,0.1686213009290213,1,0.1686213009290213
Pex19,0.03245325933416889,0.04568141989538733,0.07453016661260739,1,0.07453016661260739
Dcaf8,0.029368561431390244,0.06889804804159333,0.1016124548673643,1,0.1016124548673643
Atp1a2,0.2962742670385182,0.3001185083060774,0.5332149446326276,1,0.5332149446326276
Igsf9,0.08506744490631908,0.14805947887108342,0.20213521684756,1,0.20213521684756
Tagln2,0.2842418351160161,0.3587851513050555,0.40979289411800185,1,0.40979289411800185
Ackr1,0.06665388885361934,0.23442849450957723,0.24798216235765877,1,0.24798216235765877
Cadm3,0.04337504047763208,0.34353746033830207,0.43313565516533453,1,0.43313565516533453
Spta1,0.16840641200235323,0.2120743109218273,0.5930054864568863,1,0.5930054864568863
Fmn2,0.2512634916138497,0.26504370063369487,0.28731928976299015,1,0.28731928976299015
Rgs7,0.016495350744085622,0.20295158289232382,0.21734850783577075,1,0.21734850783577075
Fh1,0.09188022443517033,0.2623781247195831,0.2832352038089119,1,0.2832352038089119
Gm38100,-0.00544549750963898,-5.269728089873466e-4,-4.463661420714976e-4,1,-4.463661420714976e-4
Rbm8a2,-0.00843551062299172,0.02098953692648901,0.03420298156725756,1,0.03420298156725756
Cep170,0.04596201026015532,0.2051455399383339,0.39509999927373607,1,0.39509999927373607
Akt3,0.07468849600377336,0.19637331042408368,0.34959233269168233,1,0.34959233269168233
Catspere2,-0.015202602001589205,0.0042701891758001554,0.006580966650972121,1,0.006580966650972121
Sccpdh,0.005918160673886715,0.04376584011528945,0.07699887003862077,1,0.07699887003862077
Cdc42bpa,0.0034634986295084716,0.028770391179823867,0.05615651204206015,1,0.05615651204206015
Coq8a,0.009690358896011352,0.02987627997270593,0.03185398946639409,1,0.03185398946639409
Itpkb,0.03419141215093307,0.05008440753784817,0.056462941090996914,1,0.056462941090996914
Acbd3,0.031360792880287654,0.07244158916904643,0.148254861256803,1,0.148254861256803
Sde2,-0.008006029026626154,0.0987198936567295,0.12384982657401727,1,0.12384982657401727
Tmem63a,0.00830899171110112,0.06572660052647289,0.09601643737079057,1,0.09601643737079057
Cnih3,0.011301322659580412,0.04660823748577987,0.1903049598040058,1,0.1903049598040058
Enah,0.156925460031938,0.18367018444176753,0.3091468743628702,1,0.3091468743628702
Srp9,0.02725345582992519,0.08557713624536789,0.11720548038175482,1,0.11720548038175482
Fbxo28,0.03930668121683922,0.040958504008964426,0.07656049551378706,1,0.07656049551378706
Susd4,0.14339931921113558,0.205835751523702,0.22844556995173868,1,0.22844556995173868
Brox,0.00511612323048083,0.10980921236103798,0.1401918897474824,1,0.1401918897474824
Aida,0.02331926053350308,0.06082419083967209,0.08932193469159863,1,0.08932193469159863
Hhipl2,-0.002412058271302679,-0.0011781436472934911,0.003972652901195656,1,0.003972652901195656
Marc1,-0.0043172465178027055,0.08102268365500906,0.15260398910614564,1,0.15260398910614564
C130074G19Rik,0.0641921397940339,0.14244849674756094,0.17226137362540248,1,0.17226137362540248
Mark1,0.015628055462739574,0.16599338168054445,0.21858121781407244,1,0.21858121781407244
Iars2,0.0055668430774178925,0.15154507429577593,0.15932541976236095,1,0.15932541976236095
Slc30a10,0.09474011272693532,0.19208680605598405,0.3873228783578167,1,0.3873228783578167
Gpatch2,0.0062878284674757045,0.029838608769519312,0.06062630902554698,1,0.06062630902554698
Kcnk2,0.02981981034081141,0.06886545241677455,0.13873401947939357,1,0.13873401947939357
Cenpf,0.06515942484029896,0.18260947501884314,0.2195386914052881,1,0.2195386914052881
Flvcr1,-0.0025920131390027375,-0.0018912627119860785,0.0049402989803303925,1,0.0049402989803303925
Tatdn3,0.008554089110080869,0.01587583595805326,0.03108777236060924,1,0.03108777236060924
Nsl1,0.03855776208126109,0.08525776148373923,0.10079624243466277,1,0.10079624243466277
Batf3,0.04618557052943573,0.06614684038070029,0.10511578360447783,1,0.10511578360447783
Pacc1,0.055988314923954535,0.05953515250444817,0.06044394348248794,1,0.06044394348248794
Dtl,0.13104376648876845,0.3059694697191263,0.41467065385034685,1,0.41467065385034685
Nek2,0.17069166278464235,0.2259472432677786,0.34271041238968625,1,0.34271041238968625
Traf5,0.029166931421882855,0.0868344302823084,0.142420505534657,1,0.142420505534657
Syt14,-0.0030043856756360216,0.05645896446456385,0.14100907820708297,1,0.14100907820708297
Irf6,0.07008954719983906,0.17140832922251986,0.2289823165781235,1,0.2289823165781235
Traf3ip3,-0.010542248443972155,0.04806475145154236,0.11927194440060133,1,0.11927194440060133
Lamb3,0.060102407470954,0.08407404604140509,0.14401171689673026,1,0.14401171689673026
Camk1g,0.024826153029108428,0.06517833426926138,0.13999140850131983,1,0.13999140850131983
Fam171a1,0.016568240130929102,0.07033847394591423,0.09830364221508923,1,0.09830364221508923
Nmt2,0.08509956618935018,0.09257123661654373,0.17141272721320067,1,0.17141272721320067
